foodName,Vitamin A RAE,Vitamin C,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7,Vitamin B9,Folic acid,Food Folate,Folate DFE,Choline,Vitamin B12,Retinol,Carotene beta,Carotene alpha,Cryptoxanthin beta,Vitamin A IU,Lycopene,Lut plus Zeaxanthin,Vitamin E,Vitamin D,Vitamin D2,Vitamin D3,Vitamin D IU,Vitamin K,Vitamin K1,Menaquinone-4,SUM
apple,2,4,0,0,0.1,0.1,0,null,0,0,0,0,3.4,0,0,17,0,13,38,0,18,0.1,0,null,null,0,0.6,0,null,96.3
apricot,96,10,0,0,0.6,0.2,0.1,null,9,0,9,9,2.8,0,0,1094,19,104,1926,0,89,0.9,0,null,null,0,3.3,null,null,3372.9
blackberries,11,21,0,0,0.6,0.3,0,null,25,0,25,25,8.5,0,0,128,0,0,214,0,118,1.2,0,null,null,0,19.8,0,null,597.4
blueberry,3,9.7,0,0,0.4,0.1,0.1,null,6,0,6,6,6,0,0,32,0,0,54,0,80,0.6,0,null,null,0,19.3,0,null,223.2
fig,7,2,0.1,0.1,0.4,0.3,0.1,null,6,0,6,6,4.7,0,0,85,0,0,142,0,9,0.1,0,null,null,0,4.7,null,null,273.5
grapes,5,4,0.1,0.1,0.3,0,0.1,null,4,0,4,4,5.6,0,0,59,1,0,100,0,72,0.2,0,null,null,0,14.6,null,null,274
cantaloupe,169,36.7,0,0,0.7,0.1,0.1,null,21,0,21,21,7.6,0,0,2020,16,1,3382,0,26,0.1,0,null,null,0,2.5,0,null,5724.8
peach,16,6.6,0,0,0.8,0.2,0,null,4,0,4,4,6.1,0,0,162,0,67,326,0,91,0.7,0,null,null,0,2.6,0,null,691
pear,1,4.3,0,0,0.2,0,0,null,7,0,7,7,5.1,0,0,14,1,2,25,0,44,0.1,0,null,null,0,4.4,0,null,122.1
plums,17,9.5,0,0,0.4,0.1,0,null,5,0,5,5,1.9,0,0,190,0,35,345,0,73,0.3,0,null,null,0,6.4,0,null,693.6
raspberries,2,26.2,0,0,0.6,0.3,0.1,null,21,0,21,21,12.3,0,0,12,16,0,33,0,136,0.9,0,null,null,0,7.8,0,null,310.2
strawberries,1,58.8,0,0,0.4,0.1,0,null,24,0,24,24,5.7,0,0,7,0,0,12,0,26,0.3,0,null,null,0,2.2,0,null,185.5
eggplant,2,1.3,0.1,0,0.6,0.1,0.1,null,14,0,14,14,9.4,0,0,22,0,0,37,0,0,0.4,0,null,null,0,2.9,null,null,117.9
greeBellPepper,18,80.4,0.1,0,0.5,0.1,0.2,null,10,0,10,10,5.5,0,0,208,21,7,370,0,341,0.4,0,null,null,0,7.4,0,null,1089.6
zucchini,10,17.9,0,0.1,0.5,0.2,0.2,null,24,0,24,24,9.5,0,0,120,0,0,200,0,2125,0.1,0,null,null,0,4.3,null,null,2559.8
cucumber,5,2.8,0,0,0.1,0.3,0,null,7,0,7,7,6,0,0,45,11,26,105,0,23,0,0,null,null,0,16.4,0,null,261.6
lettuce,25,2.8,0,0,0.1,0.1,0,null,29,0,29,29,6.7,0,0,299,4,0,502,0,277,0.2,0,null,null,0,24.1,0,null,1228
peas,38,40,0.3,0.1,2.1,0.1,0.2,null,65,0,65,65,28.4,0,0,449,21,0,765,0,2477,0.1,0,null,null,0,24.8,null,null,4041.1
tomatoes,42,13.7,0,0,0.6,0.1,0.1,null,15,0,15,15,6.7,0,0,449,101,0,833,2573,123,0.5,0,null,null,0,7.9,0,null,4195.6
banana,3,8.7,0,0.1,0.7,0.3,0.4,null,20,0,20,20,9.8,0,0,26,25,0,64,0,22,0.1,0,null,null,0,0.5,0,null
brownRice,0,0,0.2,0.1,2.6,0.4,0.1,null,9,0,9,9,9.2,0,0,0,0,0,0,0,0,0.2,0,null,null,0,0.2,0,0
coockedBrownRice,0,0,0.1,0,1.3,0.4,0.1,null,4,0,4,4,null,0,0,null,null,null,0,null,null,null,0,null,null,0,null,null,null
